profession_id,profession_name,profession_name_ar,profession_name_hi,qualification_id,qualification_name,qualification_full_name,qualification_type,duration_years,academic_years,has_pg,has_phd,has_internship,specializations
1,Doctor,طبيب,डॉक्टर,doctor_mbbs,MBBS,Bachelor of Medicine Bachelor of Surgery,degree,5,"1st Year|2nd Year|3rd Year|4th Year|5th Year|House Surgency",true,true,false,"Obstetrics and Gynaecology|Pediatrics|Radiology|Cardiology|Neurology|Oncology|Psychiatry|Emergency Medicine|Cosmetology|ENT|Orthopedics|Dermatology|Anesthesiology|General Surgery|Internal Medicine|Ophthalmology|Others"
1,Doctor,طبيب,डॉक्टर,doctor_md,MD,Doctor of Medicine,postgraduate,3,"1st Year|2nd Year|3rd Year",false,true,false,"Obstetrics and Gynaecology|Pediatrics|Radiology|Cardiology|Neurology|Oncology|Psychiatry|Emergency Medicine|Cosmetology|ENT|Orthopedics|Dermatology|Anesthesiology|General Surgery|Internal Medicine|Ophthalmology|Others"
1,Doctor,طبيب,डॉक्टर,doctor_ms,MS,Master of Surgery,postgraduate,3,"1st Year|2nd Year|3rd Year",false,true,false,"Obstetrics and Gynaecology|Pediatrics|Radiology|Cardiology|Neurology|Oncology|Psychiatry|Emergency Medicine|Cosmetology|ENT|Orthopedics|Dermatology|Anesthesiology|General Surgery|Internal Medicine|Ophthalmology|Others"
2,Dentist,طبيب أسنان,दंत चिकित्सक,dentist_bds,BDS,Bachelor of Dental Surgery,degree,5,"1st Year|2nd Year|3rd Year|4th Year|5th Year",true,true,true,"Orthodontics|Periodontics|Prosthodontics|Oral and Maxillofacial Surgery|Endodontics|Pedodontics|Oral Pathology|Public Health Dentistry|Conservative Dentistry|Others"
2,Dentist,طبيب أسنان,दंत चिकित्सक,dentist_mds,MDS,Master of Dental Surgery,postgraduate,3,"1st Year|2nd Year|3rd Year",false,true,false,"Orthodontics|Periodontics|Prosthodontics|Oral and Maxillofacial Surgery|Endodontics|Pedodontics|Oral Pathology|Public Health Dentistry|Conservative Dentistry|Others"
3,Nurse,ممرض,नर्स,nurse_bsc,BSc Nursing,Bachelor of Science in Nursing,degree,4,"1st Year|2nd Year|3rd Year|4th Year",true,false,true,"Medical Surgical Nursing|Pediatric Nursing|Psychiatric Nursing|Community Health Nursing|Obstetric and Gynecological Nursing|Critical Care Nursing|Others"
3,Nurse,ممرض,नर्स,nurse_anm,ANM,Auxiliary Nurse Midwife,diploma,2,"1st Year|2nd Year",false,false,true,""
3,Nurse,ممرض,नर्स,nurse_gnm,GNM,General Nursing and Midwifery,diploma,3,"1st Year|2nd Year|3rd Year",false,false,true,""
3,Nurse,ممرض,नर्स,nurse_msc,MSc Nursing,Master of Science in Nursing,postgraduate,2,"1st Year|2nd Year",false,true,false,"Medical Surgical Nursing|Pediatric Nursing|Psychiatric Nursing|Community Health Nursing|Obstetric and Gynecological Nursing|Critical Care Nursing|Others"
4,Pharmacist,صيدلي,फार्मासिस्ट,pharmacist_bpharm,B-Pharm,Bachelor of Pharmacy,degree,4,"1st Year|2nd Year|3rd Year|4th Year",true,true,true,"Clinical Pharmacy|Hospital Pharmacy|Industrial Pharmacy|Pharmaceutical Chemistry|Pharmacology|Pharmaceutics|Pharmacognosy|Others"
4,Pharmacist,صيدلي,फार्मासिस्ट,pharmacist_dpharm,D-Pharm,Diploma in Pharmacy,diploma,2,"1st Year|2nd Year",false,false,true,""
4,Pharmacist,صيدلي,फार्मासिस्ट,pharmacist_pharmd,Pharm-D,Doctor of Pharmacy,degree,6,"1st Year|2nd Year|3rd Year|4th Year|5th Year|6th Year (Internship)",true,true,true,"Clinical Pharmacy|Hospital Pharmacy|Industrial Pharmacy|Pharmaceutical Chemistry|Pharmacology|Pharmaceutics|Pharmacognosy|Others"
4,Pharmacist,صيدلي,फार्मासिस्ट,pharmacist_mpharm,M-Pharm,Master of Pharmacy,postgraduate,2,"1st Year|2nd Year",false,true,false,"Clinical Pharmacy|Hospital Pharmacy|Industrial Pharmacy|Pharmaceutical Chemistry|Pharmacology|Pharmaceutics|Pharmacognosy|Others"
5,Lab Technologist,فني مختبر,लैब टेक्नोलॉजिस्ट,lab_dmlt,DMLT,Diploma in Medical Laboratory Technology,diploma,2,"1st Year|2nd Year",false,false,false,"Clinical Biochemistry|Hematology|Microbiology|Pathology|Blood Bank Technology|Cytology|Others"
5,Lab Technologist,فني مختبر,लैब टेक्नोलॉजिस्ट,lab_bsc_mlt,BSc MLT,Bachelor of Science in Medical Laboratory Technology,degree,4,"1st Year|2nd Year|3rd Year|4th Year",true,false,false,"Clinical Biochemistry|Hematology|Microbiology|Pathology|Blood Bank Technology|Cytology|Others"
5,Lab Technologist,فني مختبر,लैब टेक्नोलॉजिस्ट,lab_msc_mlt,MSc MLT,Master of Science in Medical Laboratory Technology,postgraduate,2,"1st Year|2nd Year",false,true,false,"Clinical Biochemistry|Hematology|Microbiology|Pathology|Blood Bank Technology|Cytology|Others"
6,Physiotherapist,أخصائي علاج طبيعي,फिजियोथेरेपिस्ट,physio_bpt,BPT,Bachelor of Physiotherapy,degree,4,"1st Year|2nd Year|3rd Year|4th Year",true,true,true,"Orthopedic Physiotherapy|Neurological Physiotherapy|Cardiopulmonary Physiotherapy|Sports Physiotherapy|Pediatric Physiotherapy|Geriatric Physiotherapy|Others"
6,Physiotherapist,أخصائي علاج طبيعي,फिजियोथेरेपिस्ट,physio_mpt,MPT,Master of Physiotherapy,postgraduate,2,"1st Year|2nd Year",false,true,false,"Orthopedic Physiotherapy|Neurological Physiotherapy|Cardiopulmonary Physiotherapy|Sports Physiotherapy|Pediatric Physiotherapy|Geriatric Physiotherapy|Others"
6,Physiotherapist,أخصائي علاج طبيعي,फिजियोथेरेपिस्ट,physio_diploma,Diploma in Physiotherapy,Diploma in Physiotherapy,diploma,2,"1st Year|2nd Year",false,false,true,""
7,Radiographer,فني أشعة,रेडियोग्राफर,radio_diploma,Diploma in Radiography,Diploma in Radiography,diploma,2,"1st Year|2nd Year",false,false,false,"Diagnostic Radiography|Therapeutic Radiography|CT Scan|MRI|Ultrasound|Nuclear Medicine|Others"
